,OpenTime,XRP-USD_Open,XRP-USD_High,XRP-USD_Low,XRP-USD_Close,XRP-USD_volume,CloseTime,XRP-QuoteAssetVolume,XRP-NumberOfTrades,XRP-TBBAV,XRP-TBQAV,XRP-ignore
0,2022-01-01 01:00:00,0.8298,0.8557,0.8297,0.8507,136976730.0,2022-01-02 00:59:59.999,115507460.3752,178238.0,70090109.0,59113405.0148,0.0
1,2022-01-02 01:00:00,0.8508,0.8667,0.8372,0.8586,129688032.0,2022-01-03 00:59:59.999,110265575.8458,176940.0,65996017.0,56117623.4551,0.0
2,2022-01-03 01:00:00,0.8586,0.8587,0.8213,0.8324,178618617.0,2022-01-04 00:59:59.999,149876148.1059,232484.0,89735857.0,75298817.1864,0.0
3,2022-01-04 01:00:00,0.8324,0.8456,0.7794,0.8228,214415744.0,2022-01-05 00:59:59.999,177691936.9922,270966.0,104076850.0,86367665.3622,0.0
4,2022-01-05 01:00:00,0.8227,0.8372,0.7092,0.7726,370612510.0,2022-01-06 00:59:59.999,294783762.2987,482373.0,173152247.0,137997621.9471,0.0
5,2022-01-06 01:00:00,0.7725,0.7909,0.7377,0.7791,307202277.0,2022-01-07 00:59:59.999,234402002.0906,415169.0,151109632.0,115283157.759,0.0
6,2022-01-07 01:00:00,0.779,0.7808,0.7287,0.7634,372926762.0,2022-01-08 00:59:59.999,281919749.2178,511973.0,177050288.0,133890338.658,0.0
7,2022-01-08 01:00:00,0.7634,0.7768,0.7222,0.7452,253028571.0,2022-01-09 00:59:59.999,190213053.8015,347309.0,122226022.0,91911985.049,0.0
8,2022-01-09 01:00:00,0.7452,0.7667,0.7381,0.753,151521399.0,2022-01-10 00:59:59.999,113888420.5369,211515.0,74010465.0,55633357.2563,0.0
9,2022-01-10 01:00:00,0.753,0.7589,0.6967,0.7399,313080154.0,2022-01-11 00:59:59.999,228730493.4738,359880.0,155055910.0,113354601.5966,0.0
10,2022-01-11 01:00:00,0.7399,0.7768,0.7306,0.7703,254065075.0,2022-01-12 00:59:59.999,190447525.4492,285391.0,131311656.0,98408665.4964,0.0
11,2022-01-12 01:00:00,0.7702,0.816,0.757,0.7987,295701910.0,2022-01-13 00:59:59.999,231115520.7739,330205.0,152951383.0,119559374.3838,0.0
12,2022-01-13 01:00:00,0.7986,0.8024,0.7604,0.768,227833834.0,2022-01-14 00:59:59.999,178544935.2266,247605.0,110303627.0,86439902.8018,0.0
13,2022-01-14 01:00:00,0.7677,0.8,0.7513,0.7732,221104212.0,2022-01-15 00:59:59.999,170797410.1373,242416.0,110650666.0,85508025.4284,0.0
14,2022-01-15 01:00:00,0.7733,0.79,0.768,0.7791,138443019.0,2022-01-16 00:59:59.999,107785186.2676,159163.0,66517924.0,51809404.9352,0.0
15,2022-01-16 01:00:00,0.7791,0.7884,0.768,0.7784,125068081.0,2022-01-17 00:59:59.999,97287674.5834,157210.0,61255756.0,47661753.2612,0.0
16,2022-01-17 01:00:00,0.7785,0.7805,0.7498,0.7617,181653025.0,2022-01-18 00:59:59.999,138537212.0576,205250.0,87928840.0,67048581.0656,0.0
17,2022-01-18 01:00:00,0.7616,0.7686,0.7352,0.7509,188367099.0,2022-01-19 00:59:59.999,141172279.38,209700.0,92556337.0,69375577.4692,0.0
18,2022-01-19 01:00:00,0.751,0.7533,0.7231,0.7381,190555142.0,2022-01-20 00:59:59.999,140704196.393,214504.0,92323317.0,68185226.1694,0.0
19,2022-01-20 01:00:00,0.7381,0.7622,0.7161,0.7199,205931050.0,2022-01-21 00:59:59.999,153121537.0821,218718.0,92776494.0,69090083.1729,0.0
20,2022-01-21 01:00:00,0.7199,0.7285,0.6112,0.6368,612944841.0,2022-01-22 00:59:59.999,410698993.8904,579921.0,283151610.0,189699610.0726,0.0
21,2022-01-22 01:00:00,0.6368,0.6542,0.5489,0.5966,769947907.12,2022-01-23 00:59:59.999,460971551.623324,714427.0,370364682.47,221834544.794196,0.0
22,2022-01-23 01:00:00,0.5966,0.6352,0.59,0.6283,331234207.0,2022-01-24 00:59:59.999,202062551.6478,347609.0,162325892.0,99066781.9774,0.0
23,2022-01-24 01:00:00,0.6284,0.6286,0.5524,0.6118,513343471.0,2022-01-25 00:59:59.999,300019737.6239,520142.0,250617559.0,146514446.6219,0.0
24,2022-01-25 01:00:00,0.6118,0.6243,0.5872,0.618,319618429.0,2022-01-26 00:59:59.999,192980719.1092,298398.0,157355880.0,95022691.4237,0.0
25,2022-01-26 01:00:00,0.6178,0.6586,0.6047,0.6193,466864710.0,2022-01-27 00:59:59.999,293046543.4372,425965.0,230375796.0,144665471.5094,0.0
26,2022-01-27 01:00:00,0.6193,0.6247,0.5893,0.6088,292543906.0,2022-01-28 00:59:59.999,176630359.0127,264351.0,132968036.0,80340602.7942,0.0
27,2022-01-28 01:00:00,0.6089,0.614,0.5916,0.6111,221009653.0,2022-01-29 00:59:59.999,133208703.7599,215447.0,109391522.0,65959261.9821,0.0
28,2022-01-29 01:00:00,0.6112,0.6255,0.6083,0.6174,154572094.0,2022-01-30 00:59:59.999,95192596.384,157630.0,77341413.0,47642622.7136,0.0
29,2022-01-30 01:00:00,0.6175,0.6232,0.5973,0.6013,146491081.0,2022-01-31 00:59:59.999,89634415.7316,155232.0,69182128.0,42355597.9176,0.0
30,2022-01-31 01:00:00,0.6012,0.6242,0.5803,0.6174,213749309.0,2022-02-01 00:59:59.999,127444698.1901,202749.0,108262249.0,64612912.7017,0.0
31,2022-02-01 01:00:00,0.6174,0.6308,0.6107,0.6284,174300620.0,2022-02-02 00:59:59.999,108325641.3791,179180.0,92006396.0,57191761.0132,0.0
32,2022-02-02 01:00:00,0.6284,0.6314,0.5955,0.6006,186608762.0,2022-02-03 00:59:59.999,114856317.4968,195159.0,91214428.0,56181186.2223,0.0
33,2022-02-03 01:00:00,0.6006,0.6116,0.5886,0.6102,168129675.0,2022-02-04 00:59:59.999,100903909.1622,166019.0,82030398.0,49239399.1662,0.0
34,2022-02-04 01:00:00,0.6101,0.6589,0.6044,0.6555,263927174.0,2022-02-05 00:59:59.999,164697317.0547,234991.0,140894316.0,87920154.493,0.0
35,2022-02-05 01:00:00,0.6557,0.6869,0.65,0.6656,310296779.0,2022-02-06 00:59:59.999,207432932.9309,296990.0,163402988.0,109221694.5298,0.0
36,2022-02-06 01:00:00,0.6656,0.688,0.6589,0.6825,157303166.0,2022-02-07 00:59:59.999,105499040.7399,163540.0,77801560.0,52193085.8344,0.0
37,2022-02-07 01:00:00,0.6825,0.839,0.6712,0.8314,640917209.0,2022-02-08 00:59:59.999,491875684.7933,773279.0,327757400.0,251545537.8708,0.0
38,2022-02-08 01:00:00,0.8314,0.9142,0.8034,0.8763,1048879447.0,2022-02-09 00:59:59.999,896908628.4032,1336231.0,535178885.0,457855992.8328,0.0
39,2022-02-09 01:00:00,0.8763,0.9168,0.8413,0.8697,626331950.0,2022-02-10 00:59:59.999,549165655.7157,803724.0,314570536.0,275936216.0557,0.0
40,2022-02-10 01:00:00,0.8699,0.8975,0.821,0.8253,495010890.0,2022-02-11 00:59:59.999,427414739.417,540824.0,242914550.0,209806198.6446,0.0
41,2022-02-11 01:00:00,0.8253,0.8339,0.75,0.7591,482432190.0,2022-02-12 00:59:59.999,388566707.0626,519699.0,228558713.0,184198520.8532,0.0
42,2022-02-12 01:00:00,0.759,0.8532,0.7465,0.8223,477906804.0,2022-02-13 00:59:59.999,383669503.4621,526512.0,234073787.0,188095069.8194,0.0
43,2022-02-13 01:00:00,0.8223,0.8476,0.792,0.8057,351589704.0,2022-02-14 00:59:59.999,288439676.8539,411195.0,169831806.0,139336595.4066,0.0
44,2022-02-14 01:00:00,0.8057,0.8127,0.7791,0.8012,304006647.0,2022-02-15 00:59:59.999,241701354.4564,298362.0,151755059.0,120697998.6505,0.0
45,2022-02-15 01:00:00,0.8012,0.8599,0.7961,0.8515,279317316.0,2022-02-16 00:59:59.999,231323680.2361,292838.0,145139011.0,120212814.2036,0.0
46,2022-02-16 01:00:00,0.8514,0.8532,0.8086,0.8366,252745706.0,2022-02-17 00:59:59.999,210175363.6046,272890.0,121239086.0,100858526.5729,0.0
47,2022-02-17 01:00:00,0.8367,0.8448,0.7535,0.769,375190546.0,2022-02-18 00:59:59.999,300624314.1474,377795.0,180001437.0,144223727.5401,0.0
48,2022-02-18 01:00:00,0.7689,0.8055,0.756,0.784,417945743.0,2022-02-19 00:59:59.999,326120877.6789,423084.0,201924098.0,157513266.3368,0.0
49,2022-02-19 01:00:00,0.7841,0.8547,0.7696,0.8215,492929500.0,2022-02-20 00:59:59.999,400613754.2186,594162.0,248825500.0,202360377.2972,0.0
50,2022-02-20 01:00:00,0.8215,0.8234,0.7643,0.7769,495454770.0,2022-02-21 00:59:59.999,391269443.4318,521656.0,227536480.0,179659457.3597,0.0
51,2022-02-21 01:00:00,0.7769,0.802,0.6953,0.7018,621650777.0,2022-02-22 00:59:59.999,474629850.5165,558755.0,303954516.0,232169573.5726,0.0
52,2022-02-22 01:00:00,0.7018,0.7266,0.6686,0.7209,597541290.0,2022-02-23 00:59:59.999,417027236.6289,503146.0,299122368.0,208862896.9036,0.0
53,2022-02-23 01:00:00,0.7209,0.7441,0.6924,0.6967,438023003.0,2022-02-24 00:59:59.999,315158238.6433,352974.0,219155727.0,157728011.8876,0.0
54,2022-02-24 01:00:00,0.6967,0.7226,0.6215,0.6963,986343826.0,2022-02-25 00:59:59.999,649336702.1989,776546.0,475980122.0,313319924.6972,0.0
55,2022-02-25 01:00:00,0.6962,0.7807,0.6826,0.7699,557343038.0,2022-02-26 00:59:59.999,397739663.4322,483216.0,289233335.0,206653757.6256,0.0
56,2022-02-26 01:00:00,0.7698,0.7955,0.7403,0.7508,520451349.0,2022-02-27 00:59:59.999,398290215.7972,518766.0,263972487.0,202016049.1408,0.0
57,2022-02-27 01:00:00,0.7508,0.7677,0.7032,0.7215,441252224.0,2022-02-28 00:59:59.999,324122751.3269,380063.0,211903246.0,155721473.8369,0.0
58,2022-02-28 01:00:00,0.7216,0.7938,0.7075,0.7809,444617964.0,2022-03-01 00:59:59.999,331004684.9104,411864.0,220791698.0,164606481.1886,0.0
59,2022-03-01 01:00:00,0.7809,0.8039,0.7574,0.7839,392126769.0,2022-03-02 00:59:59.999,305309246.7925,396934.0,193409344.0,150654555.7843,0.0
60,2022-03-02 01:00:00,0.784,0.7848,0.7562,0.7687,377602100.0,2022-03-03 00:59:59.999,290891663.0599,306050.0,186780734.0,143882345.5757,0.0
61,2022-03-03 01:00:00,0.7688,0.7897,0.7336,0.7515,339295156.0,2022-03-04 00:59:59.999,257664904.5485,298359.0,166262432.0,126275130.7789,0.0
62,2022-03-04 01:00:00,0.7514,0.755,0.6942,0.7127,382831997.0,2022-03-05 00:59:59.999,279450790.8482,325418.0,187126852.0,136654078.9078,0.0
63,2022-03-05 01:00:00,0.7127,0.7693,0.7049,0.754,358200609.0,2022-03-06 00:59:59.999,265951379.1469,360890.0,171764631.0,127561328.589,0.0
64,2022-03-06 01:00:00,0.7539,0.7589,0.7211,0.7251,304732286.0,2022-03-07 00:59:59.999,225032012.6074,275079.0,148059163.0,109293439.8545,0.0
65,2022-03-07 01:00:00,0.7252,0.7544,0.7033,0.7197,496407111.0,2022-03-08 00:59:59.999,363052083.9685,413298.0,249680721.0,182588165.2447,0.0
66,2022-03-08 01:00:00,0.7196,0.7313,0.7135,0.7207,293749434.0,2022-03-09 00:59:59.999,212291889.8845,231723.0,146084373.0,105592288.2111,0.0
67,2022-03-09 01:00:00,0.7208,0.775,0.7199,0.7658,397032109.0,2022-03-10 00:59:59.999,298577935.7299,342087.0,210070672.0,157981242.9616,0.0
68,2022-03-10 01:00:00,0.7659,0.7797,0.7215,0.7361,397850898.0,2022-03-11 00:59:59.999,294933673.0231,350437.0,191002562.0,141660681.4386,0.0
69,2022-03-11 01:00:00,0.7361,0.814,0.725,0.8029,526984782.0,2022-03-12 00:59:59.999,402055677.0288,515649.0,265507599.0,202653114.0156,0.0
70,2022-03-12 01:00:00,0.8028,0.849,0.7783,0.7857,589059126.0,2022-03-13 00:59:59.999,474559889.9224,662771.0,280010604.0,225635940.9371,0.0
71,2022-03-13 01:00:00,0.7857,0.8057,0.7508,0.7602,311279578.0,2022-03-14 00:59:59.999,244669480.0742,304239.0,146750241.0,115428354.2304,0.0
72,2022-03-14 01:00:00,0.7602,0.7779,0.745,0.7748,326606464.0,2022-03-15 00:59:59.999,249607534.8329,277062.0,166773116.0,127466033.2777,0.0
73,2022-03-15 01:00:00,0.7747,0.7768,0.7413,0.7657,243756136.0,2022-03-16 00:59:59.999,185554830.1951,224551.0,120440153.0,91702951.2356,0.0
74,2022-03-16 01:00:00,0.7658,0.7945,0.7569,0.7919,350641035.0,2022-03-17 00:59:59.999,270905161.1004,338101.0,178379477.0,137846140.9617,0.0
75,2022-03-17 01:00:00,0.7919,0.802,0.783,0.7935,264101320.0,2022-03-18 00:59:59.999,209115111.7325,239087.0,136623515.0,108183137.9896,0.0
76,2022-03-18 01:00:00,0.7936,0.8007,0.7762,0.7965,222661984.0,2022-03-19 00:59:59.999,175564924.199,202346.0,112469928.0,88692231.2992,0.0
77,2022-03-19 01:00:00,0.7964,0.8268,0.7915,0.8194,248947590.0,2022-03-20 00:59:59.999,202388188.4208,265739.0,117794407.0,95755655.7573,0.0
78,2022-03-20 01:00:00,0.8195,0.822,0.795,0.8057,185090508.0,2022-03-21 00:59:59.999,149611235.7475,177909.0,86526823.0,69949276.7585,0.0
79,2022-03-21 01:00:00,0.8057,0.8549,0.7875,0.8373,316427663.0,2022-03-22 00:59:59.999,259592940.3888,362667.0,159769268.0,131064535.8994,0.0
80,2022-03-22 01:00:00,0.8372,0.8653,0.8273,0.8366,305184306.0,2022-03-23 00:59:59.999,257893273.7383,340957.0,154289567.0,130398701.3163,0.0
81,2022-03-23 01:00:00,0.8366,0.846,0.8171,0.8376,235024475.0,2022-03-24 00:59:59.999,195140355.5946,230168.0,113831215.0,94527036.5583,0.0
82,2022-03-24 01:00:00,0.8376,0.85,0.8272,0.8428,282122073.0,2022-03-25 00:59:59.999,236615079.7898,280263.0,147774382.0,123968022.8932,0.0
83,2022-03-25 01:00:00,0.8428,0.8459,0.8185,0.8239,214450998.0,2022-03-26 00:59:59.999,178986690.6411,194835.0,105983987.0,88495788.6914,0.0
84,2022-03-26 01:00:00,0.8239,0.8349,0.8206,0.8327,122433652.0,2022-03-27 00:59:59.999,101517227.9421,108590.0,58204949.0,48261302.8863,0.0
85,2022-03-27 01:00:00,0.8326,0.8582,0.8275,0.858,198619688.0,2022-03-28 01:59:59.999,167118139.6212,199174.0,99347869.0,83611740.2909,0.0
86,2022-03-28 02:00:00,0.8579,0.93,0.8528,0.8641,479199201.0,2022-03-29 01:59:59.999,422637754.2167,540963.0,255022451.0,225063849.0903,0.0
87,2022-03-29 02:00:00,0.864,0.8857,0.8389,0.8577,264756291.0,2022-03-30 01:59:59.999,230020279.9314,293027.0,129038578.0,112143460.781,0.0
88,2022-03-30 02:00:00,0.8576,0.8718,0.8455,0.8613,201046259.0,2022-03-31 01:59:59.999,173039224.5048,224285.0,102066434.0,87851965.478,0.0
89,2022-03-31 02:00:00,0.8613,0.8737,0.7794,0.8148,366939277.0,2022-04-01 01:59:59.999,305824263.8892,400216.0,172319249.0,143671827.3714,0.0
90,2022-04-01 02:00:00,0.8149,0.8343,0.807,0.8277,254001232.0,2022-04-02 01:59:59.999,208774877.5653,251817.0,124094463.0,101996499.5634,0.0
91,2022-04-02 02:00:00,0.8277,0.8499,0.8185,0.824,210041825.0,2022-04-03 01:59:59.999,175623270.3137,208651.0,98183173.0,82111559.8957,0.0
92,2022-04-03 02:00:00,0.824,0.8519,0.8143,0.8432,159520162.0,2022-04-04 01:59:59.999,133117452.9172,156976.0,77302883.0,64502447.3359,0.0
93,2022-04-04 02:00:00,0.8432,0.844,0.8041,0.826,216740017.0,2022-04-05 01:59:59.999,179165135.2421,215429.0,106854587.0,88344943.0996,0.0
94,2022-04-05 02:00:00,0.8261,0.8366,0.8145,0.8164,174779509.0,2022-04-06 01:59:59.999,144156926.2418,158487.0,87383871.0,72080970.0778,0.0
95,2022-04-06 02:00:00,0.8164,0.8184,0.7555,0.7595,348686323.0,2022-04-07 01:59:59.999,274381875.7023,364137.0,168915184.0,132979551.6493,0.0
96,2022-04-07 02:00:00,0.7594,0.7911,0.7523,0.7871,196211648.0,2022-04-08 01:59:59.999,152188903.5217,203495.0,94215238.0,73077180.2044,0.0
97,2022-04-08 02:00:00,0.787,0.7944,0.7463,0.7549,210639194.0,2022-04-09 01:59:59.999,162771256.5049,208204.0,104376903.0,80692244.786,0.0
98,2022-04-09 02:00:00,0.755,0.7668,0.7531,0.7622,102131244.0,2022-04-10 01:59:59.999,77625116.2299,107344.0,47440735.0,36059404.0327,0.0
99,2022-04-10 02:00:00,0.7623,0.7731,0.7524,0.7543,123028708.0,2022-04-11 01:59:59.999,93662860.1336,127125.0,57114934.0,43494557.2975,0.0
100,2022-04-11 02:00:00,0.7543,0.7558,0.6802,0.6948,354459252.0,2022-04-12 01:59:59.999,253488704.6894,328030.0,167664986.0,119927030.7184,0.0
101,2022-04-12 02:00:00,0.6949,0.734,0.6924,0.7152,263088987.0,2022-04-13 01:59:59.999,185940902.0363,260994.0,133316198.0,94219143.5379,0.0
102,2022-04-13 02:00:00,0.7151,0.7252,0.7017,0.7232,217937566.0,2022-04-14 01:59:59.999,156097770.2643,205229.0,108623961.0,77822024.429,0.0
103,2022-04-14 02:00:00,0.7232,0.7413,0.7083,0.7262,239629937.0,2022-04-15 01:59:59.999,173590844.0636,217510.0,117445778.0,85066672.3144,0.0
104,2022-04-15 02:00:00,0.7262,0.7975,0.7261,0.7858,439676502.0,2022-04-16 01:59:59.999,340018971.2768,490660.0,222695983.0,172134143.0282,0.0
105,2022-04-16 02:00:00,0.7859,0.7999,0.7658,0.7808,206493032.0,2022-04-17 01:59:59.999,161483053.8088,195172.0,100170754.0,78347213.436,0.0
106,2022-04-17 02:00:00,0.7808,0.7861,0.7477,0.7519,188468510.0,2022-04-18 01:59:59.999,145499726.0462,176462.0,92494781.0,71408946.4904,0.0
107,2022-04-18 02:00:00,0.7519,0.7699,0.7266,0.7699,257757252.0,2022-04-19 01:59:59.999,192473959.5038,258339.0,126225222.0,94297426.8333,0.0
108,2022-04-19 02:00:00,0.7698,0.786,0.7588,0.7749,199132020.0,2022-04-20 01:59:59.999,153428708.3625,191968.0,103980072.0,80113597.9742,0.0
109,2022-04-20 02:00:00,0.7749,0.7753,0.742,0.7517,220246970.0,2022-04-21 01:59:59.999,167656195.8777,192462.0,107948127.0,82171145.4734,0.0
110,2022-04-21 02:00:00,0.7517,0.7686,0.718,0.7328,241310449.0,2022-04-22 01:59:59.999,180731787.3906,241040.0,120565186.0,90337004.5003,0.0
111,2022-04-22 02:00:00,0.7328,0.7387,0.7142,0.7179,220757625.0,2022-04-23 01:59:59.999,160328204.818,216443.0,106214645.0,77146619.6125,0.0
112,2022-04-23 02:00:00,0.7178,0.7267,0.7023,0.7057,163036743.0,2022-04-24 01:59:59.999,116203898.7368,154364.0,79411803.0,56595167.8976,0.0
113,2022-04-24 02:00:00,0.7057,0.7119,0.6944,0.6981,144945400.0,2022-04-25 01:59:59.999,102084222.507,137510.0,70704996.0,49784633.333,0.0
114,2022-04-25 02:00:00,0.698,0.6998,0.6451,0.6931,399434752.0,2022-04-26 01:59:59.999,267285979.6594,354207.0,196890553.0,131736017.814,0.0
115,2022-04-26 02:00:00,0.6931,0.7065,0.6276,0.642,355964613.0,2022-04-27 01:59:59.999,237444379.8966,311924.0,174245692.0,116326399.0929,0.0
116,2022-04-27 02:00:00,0.642,0.663,0.6361,0.6522,277994630.0,2022-04-28 01:59:59.999,180637616.853,241976.0,142408334.0,92540378.8476,0.0
117,2022-04-28 02:00:00,0.6522,0.6577,0.6333,0.6428,242145728.0,2022-04-29 01:59:59.999,156497699.4127,195259.0,119074148.0,76959693.9611,0.0
118,2022-04-29 02:00:00,0.6428,0.6464,0.5992,0.6116,322263629.0,2022-04-30 01:59:59.999,200206773.4092,234208.0,155967290.0,96871644.8979,0.0
119,2022-04-30 02:00:00,0.6115,0.6288,0.5663,0.5845,354754733.0,2022-05-01 01:59:59.999,214938073.8545,274288.0,169587697.0,102905100.6398,0.0
